Iteration,Best Distance
1,39812.166859918754
2,39812.166859918754
3,39812.166859918754
4,38245.01523496963
5,38245.01523496963
6,38245.01523496963
7,38245.01523496963
8,38245.01523496963
9,38245.01523496963
10,38245.01523496963
11,38245.01523496963
12,38245.01523496963
13,38245.01523496963
14,38245.01523496963
15,38245.01523496963
16,38245.01523496963
17,38245.01523496963
18,38245.01523496963
19,38245.01523496963
20,38245.01523496963
21,38245.01523496963
22,37973.56755276954
23,37973.56755276954
24,37973.56755276954
25,37973.56755276954
26,37973.56755276954
27,37973.56755276954
28,37973.56755276954
29,37973.56755276954
30,37973.56755276954
31,37973.56755276954
32,37973.56755276954
33,37973.56755276954
34,37973.56755276954
35,37973.56755276954
36,37973.56755276954
37,37973.56755276954
38,37973.56755276954
39,37973.56755276954
40,37973.56755276954
41,37973.56755276954
42,37973.56755276954
43,37973.56755276954
44,37973.56755276954
45,37973.56755276954
46,37973.56755276954
47,37973.56755276954
48,37973.56755276954
49,37973.56755276954
50,37973.56755276954
51,37973.56755276954
52,37973.56755276954
53,37973.56755276954
54,37973.56755276954
55,37973.56755276954
56,37973.56755276954
57,37973.56755276954
58,37973.56755276954
59,37973.56755276954
60,37973.56755276954
61,37973.56755276954
62,37973.56755276954
63,37973.56755276954
64,37973.56755276954
65,37973.56755276954
66,37973.56755276954
67,37973.56755276954
68,37973.56755276954
69,37973.56755276954
70,37973.56755276954
71,37973.56755276954
72,37973.56755276954
73,37973.56755276954
74,37973.56755276954
75,37973.56755276954
76,37973.56755276954
77,37973.56755276954
78,37973.56755276954
79,37973.56755276954
80,37973.56755276954
81,37973.56755276954
82,37973.56755276954
83,37973.56755276954
84,37973.56755276954
85,37973.56755276954
86,37973.56755276954
87,37973.56755276954
88,37935.466290457814
89,37935.466290457814
90,37935.466290457814
91,37935.466290457814
92,37935.466290457814
93,37935.466290457814
94,37935.466290457814
95,37935.466290457814
96,37935.466290457814
97,37935.466290457814
98,37935.466290457814
99,37935.466290457814
100,37935.466290457814
101,37935.466290457814
102,37935.466290457814
103,37935.466290457814
104,37935.466290457814
105,37935.466290457814
106,37935.466290457814
107,37935.466290457814
108,37935.466290457814
109,37935.466290457814
110,37935.466290457814
111,37935.466290457814
112,37935.466290457814
113,37935.466290457814
114,37935.466290457814
115,37935.466290457814
116,37935.466290457814
117,37935.466290457814
118,37935.466290457814
119,37935.466290457814
120,37935.466290457814
121,37935.466290457814
122,37046.88377356529
123,37046.88377356529
124,37046.88377356529
125,37046.88377356529
126,37046.88377356529
127,37046.88377356529
128,37046.88377356529
129,37046.88377356529
130,37046.88377356529
131,37046.88377356529
132,37046.88377356529
133,37046.88377356529
134,37046.88377356529
135,37046.88377356529
136,37046.88377356529
137,37046.88377356529
138,37046.88377356529
139,37046.88377356529
140,37046.88377356529
141,37046.88377356529
142,37046.88377356529
143,37046.88377356529
144,37046.88377356529
145,37046.88377356529
146,37046.88377356529
147,37046.88377356529
148,37046.88377356529
149,37046.88377356529
150,37046.88377356529
151,37046.88377356529
152,37046.88377356529
153,37046.88377356529
154,37046.88377356529
155,37046.88377356529
156,37046.88377356529
157,37046.88377356529
158,37046.88377356529
159,37046.88377356529
160,37046.88377356529
161,37046.88377356529
162,37046.88377356529
163,37046.88377356529
164,37046.88377356529
165,37046.88377356529
166,37046.88377356529
167,37046.88377356529
168,37046.88377356529
169,37046.88377356529
170,37046.88377356529
171,37046.88377356529
172,37046.88377356529
173,37046.88377356529
174,37046.88377356529
175,37046.88377356529
176,37046.88377356529
177,37046.88377356529
178,37046.88377356529
179,37046.88377356529
180,37046.88377356529
181,37046.88377356529
182,37046.88377356529
183,37046.88377356529
184,37046.88377356529
185,37046.88377356529
186,37046.88377356529
187,37046.88377356529
188,37046.88377356529
189,37046.88377356529
190,37046.88377356529
191,37046.88377356529
192,37046.88377356529
193,37046.88377356529
194,37046.88377356529
195,37046.88377356529
196,37046.88377356529
197,37046.88377356529
198,37046.88377356529
199,37046.88377356529
200,37046.88377356529
201,37046.88377356529
202,37046.88377356529
203,37046.88377356529
204,37046.88377356529
205,37046.88377356529
206,37046.88377356529
207,37046.88377356529
208,37046.88377356529
209,37046.88377356529
210,37046.88377356529
211,37046.88377356529
212,37046.88377356529
213,37046.88377356529
214,37046.88377356529
215,37046.88377356529
216,37046.88377356529
217,37046.88377356529
218,37046.88377356529
219,37046.88377356529
220,37046.88377356529
221,37046.88377356529
222,37046.88377356529
223,37046.88377356529
224,37046.88377356529
225,37046.88377356529
226,37046.88377356529
227,37046.88377356529
228,37046.88377356529
229,37046.88377356529
230,37046.88377356529
231,37046.88377356529
232,37046.88377356529
233,37046.88377356529
234,37046.88377356529
235,37046.88377356529
236,37046.88377356529
237,37046.88377356529
238,37046.88377356529
239,37046.88377356529
240,37046.88377356529
241,37046.88377356529
242,37046.88377356529
243,37046.88377356529
244,37046.88377356529
245,37046.88377356529
246,37046.88377356529
247,37046.88377356529
248,37046.88377356529
249,37046.88377356529
250,37046.88377356529
251,37046.88377356529
252,37046.88377356529
253,37046.88377356529
254,37046.88377356529
255,37046.88377356529
256,37046.88377356529
257,37046.88377356529
258,37046.88377356529
259,37046.88377356529
260,37046.88377356529
261,37046.88377356529
262,37046.88377356529
263,37046.88377356529
264,37046.88377356529
265,37046.88377356529
266,37046.88377356529
267,37046.88377356529
268,37046.88377356529
269,37046.88377356529
270,37046.88377356529
271,37046.88377356529
272,37046.88377356529
273,37046.88377356529
274,37046.88377356529
275,37046.88377356529
276,37046.88377356529
277,37046.88377356529
278,37046.88377356529
279,37046.88377356529
280,37046.88377356529
281,37046.88377356529
282,37046.88377356529
283,37046.88377356529
284,37046.88377356529
285,37046.88377356529
286,37046.88377356529
287,37046.88377356529
288,37046.88377356529
289,37046.88377356529
290,37046.88377356529
291,37046.88377356529
292,37046.88377356529
293,37046.88377356529
294,37046.88377356529
295,37046.88377356529
296,37046.88377356529
297,37046.88377356529
298,37046.88377356529
299,37046.88377356529
300,37046.88377356529
301,37046.88377356529
302,37046.88377356529
303,37046.88377356529
304,37046.88377356529
305,37046.88377356529
306,37046.88377356529
307,37046.88377356529
308,37046.88377356529
309,37046.88377356529
310,37046.88377356529
311,37046.88377356529
312,37046.88377356529
313,37046.88377356529
314,37046.88377356529
315,37046.88377356529
316,37046.88377356529
317,37046.88377356529
318,37046.88377356529
319,37046.88377356529
320,37046.88377356529
321,37046.88377356529
322,37046.88377356529
323,37046.88377356529
324,37046.88377356529
325,37046.88377356529
326,37046.88377356529
327,37046.88377356529
328,37046.88377356529
329,37046.88377356529
330,37046.88377356529
331,37046.88377356529
332,37046.88377356529
333,37046.88377356529
334,37046.88377356529
335,37046.88377356529
336,37046.88377356529
337,37046.88377356529
338,37046.88377356529
339,37046.88377356529
340,37046.88377356529
341,37046.88377356529
342,37046.88377356529
343,37046.88377356529
344,37046.88377356529
345,37046.88377356529
346,37046.88377356529
347,37046.88377356529
348,37046.88377356529
349,37046.88377356529
350,37046.88377356529
351,37046.88377356529
352,37046.88377356529
353,37046.88377356529
354,37046.88377356529
355,37046.88377356529
356,37046.88377356529
357,37046.88377356529
358,37046.88377356529
359,37046.88377356529
360,37046.88377356529
361,37046.88377356529
362,37046.88377356529
363,37046.88377356529
364,37046.88377356529
365,37046.88377356529
366,37046.88377356529
367,37046.88377356529
368,37046.88377356529
369,37046.88377356529
370,37046.88377356529
371,37046.88377356529
372,37046.88377356529
373,37046.88377356529
374,37046.88377356529
375,37046.88377356529
376,37046.88377356529
377,37046.88377356529
378,37046.88377356529
379,37046.88377356529
380,37046.88377356529
381,37046.88377356529
382,37046.88377356529
383,37046.88377356529
384,37046.88377356529
385,37046.88377356529
386,37046.88377356529
387,37046.88377356529
388,37046.88377356529
389,37046.88377356529
390,37046.88377356529
391,37046.88377356529
392,37046.88377356529
393,37046.88377356529
394,37046.88377356529
395,37046.88377356529
396,37046.88377356529
397,37046.88377356529
398,37046.88377356529
399,37046.88377356529
400,37046.88377356529
401,37046.88377356529
402,37046.88377356529
403,37046.88377356529
404,37046.88377356529
405,37046.88377356529
406,37046.88377356529
407,37046.88377356529
408,37046.88377356529
409,37046.88377356529
410,37046.88377356529
411,37046.88377356529
412,37046.88377356529
413,37046.88377356529
414,37046.88377356529
415,37046.88377356529
416,37046.88377356529
417,37046.88377356529
418,37046.88377356529
419,37046.88377356529
420,37046.88377356529
421,37046.88377356529
422,37046.88377356529
423,37046.88377356529
424,37046.88377356529
425,37046.88377356529
426,37046.88377356529
427,36545.600784851566
428,36545.600784851566
429,36545.600784851566
430,36545.600784851566
431,36545.600784851566
432,36545.600784851566
433,36545.600784851566
434,36545.600784851566
435,36545.600784851566
436,36545.600784851566
437,36545.600784851566
438,36545.600784851566
439,36545.600784851566
440,36545.600784851566
441,36545.600784851566
442,36545.600784851566
443,36545.600784851566
444,36545.600784851566
445,36545.600784851566
446,36545.600784851566
447,36545.600784851566
448,36545.600784851566
449,36545.600784851566
450,36545.600784851566
451,36545.600784851566
452,36545.600784851566
453,36545.600784851566
454,36545.600784851566
455,36545.600784851566
456,36545.600784851566
457,36545.600784851566
458,36545.600784851566
459,36545.600784851566
460,36545.600784851566
461,36545.600784851566
462,36545.600784851566
463,36545.600784851566
464,36545.600784851566
465,36545.600784851566
466,36545.600784851566
467,36545.600784851566
468,36545.600784851566
469,36545.600784851566
470,36545.600784851566
471,36545.600784851566
472,36545.600784851566
473,36545.600784851566
474,36545.600784851566
475,36545.600784851566
476,36545.600784851566
477,36545.600784851566
478,36545.600784851566
479,36545.600784851566
480,36545.600784851566
481,36545.600784851566
482,36545.600784851566
483,36545.600784851566
484,36545.600784851566
485,36545.600784851566
486,36545.600784851566
487,36545.600784851566
488,36545.600784851566
489,36545.600784851566
490,36545.600784851566
491,36545.600784851566
492,36545.600784851566
493,36545.600784851566
494,36545.600784851566
495,36545.600784851566
496,36545.600784851566
497,36545.600784851566
498,36545.600784851566
499,36545.600784851566
500,36545.600784851566
